2.0,who is <A>,select ?a where { <A> bksport:hasAbstract ?a },select distinct ?a ?la where { ?a bksport:hasAbstract [] . ?a rdfs:label ?la },./data/xml/id-1.xml,./data/csv/id-1.csv,17234
,where is <A>,select ?a where { <A> bksport:isLocatedIn ?a },select distinct ?a ?la where { ?a bksport:isLocatedIn [] . ?a rdfs:label ?la },./data/xml/id-2.xml,./data/csv/id-2.csv,771
,location of <A>,select ?a where { <A> bksport:isLocatedIn ?a },select distinct ?a ?la where { ?a bksport:isLocatedIn [] . ?a rdfs:label ?la },./data/xml/id-2.xml,./data/csv/id-2.csv,771
,give me the location of <A>,select ?a where { <A> bksport:isLocatedIn ?a },select distinct ?a ?la where { ?a bksport:isLocatedIn [] . ?a rdfs:label ?la },./data/xml/id-2.xml,./data/csv/id-2.csv,771
,tell me where <A> is located in,select ?a where { <A> bksport:isLocatedIn ?a },select distinct ?a ?la where { ?a bksport:isLocatedIn [] . ?a rdfs:label ?la },./data/xml/id-2.xml,./data/csv/id-2.csv,771
,where is <A> located in,select ?a where { <A> bksport:isLocatedIn ?a },select distinct ?a ?la where { ?a bksport:isLocatedIn [] . ?a rdfs:label ?la },./data/xml/id-2.xml,./data/csv/id-2.csv,771
3.0,does <A> play for <B>,ask where { <A> bksport:playFor <B> },select distinct ?a ?b ?la ?lb where {?a bksport:playFor ?b . ?a rdfs:label ?la . ?b rdfs:label ?lb },./data/xml/id-3.xml,./data/csv/id-3.csv,30760
8.0,did <A> play for <B>,ask where { <A> bksport:playFor <B> },select distinct ?a ?b ?la ?lb where {?a bksport:playFor ?b . ?a rdfs:label ?la . ?b rdfs:label ?lb },./data/xml/id-3.xml,./data/csv/id-3.csv,30760
11.0,was <A> defeated by <B>,ask where { <B> bksport:defeat <A> },select distinct ?b ?a ?la ?lb where {?b bksport:defeat ?a . ?a rdfs:label ?la . ?b rdfs:label ?lb },./data/xml/id-4-1.xml,./data/csv/id-4-1.csv,1417
9.0,did <A> defeat <B>,ask where { <A> bksport:defeat <B> },select distinct ?a ?b ?la ?lb where {?a bksport:defeat?b . ?a rdfs:label ?la . ?b rdfs:label ?lb },./data/xml/id-4-2.xml,./data/csv/id-4-2.csv,1417
6.0,which team did <A> transfer to,select ?a where { <A> bksport:transferTo ?a . ?a rdf:type bksport:Team },select distinct ?a ?la where {?a bksport:transferTo [] . ?a rdfs:label ?la },./data/xml/id-5.xml,./data/csv/id-5.csv,234
46.0,tell me which team <A> transferred to,select ?a where { <A> bksport:transferTo ?a . ?a rdf:type bksport:Team },select distinct ?a ?la where {?a bksport:transferTo [] . ?a rdfs:label ?la },./data/xml/id-5.xml,./data/csv/id-5.csv,234
13.0,news about <A>,select ?a where { ?b bksport:about <A> . ?b rdf:type bksport:News . ?b bksport:hasURL ?a },select distinct ?a ?la where {?c rdf:type bksport:News . ?c bksport:about ?a . ?a rdfs:label ?la },./data/xml/id-6.xml,./data/csv/id-6.csv,1818
15.0,which news contains <A>,select ?b where { ?a bksport:contain <A> . ?a rdf:type bksport:News . ?a bksport:hasURL ?b },select distinct ?a ?la where { ?c bksport:contain ?a . ?c rdf:type bksport:News . ?a rdfs:label ?la },./data/xml/id-7.xml,./data/csv/id-7.csv,3273
35.0,how many goals has <A> scored,select ?a where { <A> bksport:hasScore ?a },select distinct ?a ?la where { ?a bksport:hasScore [] . ?a rdfs:label ?la },./data/xml/id-8.xml,./data/csv/id-8.csv,8
52.0,who is <A> coach,select ?a where { ?a bksport:represent <A> },select distinct ?a ?la where { [] bksport:represent ?a . ?a rdfs:label ?la },./data/xml/id-9.xml,./data/csv/id-9.csv,28
53.0,who is the manager of <A>,select ?a where { ?a bksport:represent <A> },select distinct ?a ?la where { [] bksport:represent ?a . ?a rdfs:label ?la },./data/xml/id-9.xml,./data/csv/id-9.csv,28
